NOMBRE REGIÓN  RESIDENCIA HABITUAL ACTUAL,NOMBRE COMUNA RESIDENCIA HABITUAL ACTUAL,GRUPO DE EDAD,TOTAL POBLACIÓN NACIDA FUERA DEL PAÍS
ANTOFAGASTA,TALTAL,80 a 84,1
ANTOFAGASTA,TALTAL,85 a 89,1
ANTOFAGASTA,TALTAL,90 a 94,1
ANTOFAGASTA,TALTAL,95 a 99,0
ANTOFAGASTA,TALTAL,100 o más,0
ANTOFAGASTA,CALAMA,Total Comuna,19113
ANTOFAGASTA,CALAMA,0 a 4,505
ANTOFAGASTA,CALAMA,5 a 9,1057
ANTOFAGASTA,CALAMA,10 a 14,1074
ANTOFAGASTA,CALAMA,15 a 19,1162
ANTOFAGASTA,CALAMA,20 a 24,2378
ANTOFAGASTA,CALAMA,25 a 29,3114
ANTOFAGASTA,CALAMA,30 a 34,2747
ANTOFAGASTA,CALAMA,35 a 39,2262
ANTOFAGASTA,CALAMA,40 a 44,1675
ANTOFAGASTA,CALAMA,45 a 49,1224
ANTOFAGASTA,CALAMA,50 a 54,780
ANTOFAGASTA,CALAMA,55 a 59,456
ANTOFAGASTA,CALAMA,60 a 64,267
ANTOFAGASTA,CALAMA,65 a 69,156
ANTOFAGASTA,CALAMA,70 a 74,119
ANTOFAGASTA,CALAMA,75 a 79,42
ANTOFAGASTA,CALAMA,80 a 84,43
ANTOFAGASTA,CALAMA,85 a 89,30
ANTOFAGASTA,CALAMA,90 a 94,18
ANTOFAGASTA,CALAMA,95 a 99,3
ANTOFAGASTA,CALAMA,100 o más,1
ANTOFAGASTA,OLLAGÜE,Total Comuna,74
ANTOFAGASTA,OLLAGÜE,0 a 4,0
ANTOFAGASTA,OLLAGÜE,5 a 9,1
ANTOFAGASTA,OLLAGÜE,10 a 14,3
ANTOFAGASTA,OLLAGÜE,15 a 19,2
ANTOFAGASTA,OLLAGÜE,20 a 24,6
ANTOFAGASTA,OLLAGÜE,25 a 29,14
ANTOFAGASTA,OLLAGÜE,30 a 34,8
ANTOFAGASTA,OLLAGÜE,35 a 39,7
ANTOFAGASTA,OLLAGÜE,40 a 44,9
ANTOFAGASTA,OLLAGÜE,45 a 49,5
ANTOFAGASTA,OLLAGÜE,50 a 54,1
ANTOFAGASTA,OLLAGÜE,55 a 59,4
ANTOFAGASTA,OLLAGÜE,60 a 64,2
ANTOFAGASTA,OLLAGÜE,65 a 69,5
ANTOFAGASTA,OLLAGÜE,70 a 74,5
ANTOFAGASTA,OLLAGÜE,75 a 79,1
ANTOFAGASTA,OLLAGÜE,80 a 84,1
ANTOFAGASTA,OLLAGÜE,85 a 89,0
ANTOFAGASTA,OLLAGÜE,90 a 94,0
ANTOFAGASTA,OLLAGÜE,95 a 99,0
ANTOFAGASTA,OLLAGÜE,100 o más,0
ANTOFAGASTA,SAN PEDRO DE ATACAMA,Total Comuna,1534
ANTOFAGASTA,SAN PEDRO DE ATACAMA,0 a 4,37
ANTOFAGASTA,SAN PEDRO DE ATACAMA,5 a 9,60
ANTOFAGASTA,SAN PEDRO DE ATACAMA,10 a 14,58
ANTOFAGASTA,SAN PEDRO DE ATACAMA,15 a 19,76
ANTOFAGASTA,SAN PEDRO DE ATACAMA,20 a 24,205
ANTOFAGASTA,SAN PEDRO DE ATACAMA,25 a 29,304
ANTOFAGASTA,SAN PEDRO DE ATACAMA,30 a 34,215
ANTOFAGASTA,SAN PEDRO DE ATACAMA,35 a 39,200
ANTOFAGASTA,SAN PEDRO DE ATACAMA,40 a 44,113
ANTOFAGASTA,SAN PEDRO DE ATACAMA,45 a 49,101
ANTOFAGASTA,SAN PEDRO DE ATACAMA,50 a 54,70
ANTOFAGASTA,SAN PEDRO DE ATACAMA,55 a 59,43
ANTOFAGASTA,SAN PEDRO DE ATACAMA,60 a 64,26
ANTOFAGASTA,SAN PEDRO DE ATACAMA,65 a 69,13
ANTOFAGASTA,SAN PEDRO DE ATACAMA,70 a 74,6
ANTOFAGASTA,SAN PEDRO DE ATACAMA,75 a 79,1
ANTOFAGASTA,SAN PEDRO DE ATACAMA,80 a 84,4
ANTOFAGASTA,SAN PEDRO DE ATACAMA,85 a 89,1
ANTOFAGASTA,SAN PEDRO DE ATACAMA,90 a 94,1
ANTOFAGASTA,SAN PEDRO DE ATACAMA,95 a 99,0
ANTOFAGASTA,SAN PEDRO DE ATACAMA,100 o más,0
ANTOFAGASTA,TOCOPILLA,Total Comuna,1333
ANTOFAGASTA,TOCOPILLA,0 a 4,32
ANTOFAGASTA,TOCOPILLA,5 a 9,85
ANTOFAGASTA,TOCOPILLA,10 a 14,110
ANTOFAGASTA,TOCOPILLA,15 a 19,100
