id,tipo,modalidad,comuna,precio,m2_utiles,ubicacion,dormitorios_estimados,personas_hogar,indice_hacinamiento,f_A,clasificacion,precio_m2
251,casa,venta,Valdivia,230000000.0,160.0,"Intendente Luis Damann Asenjo 1 - 300, Sur De Valdivia, Valdivia",8,2.9,0.36,1,Sin hacinamiento,1437500.0
252,casa,venta,Valdivia,350000000.0,155.0,"Los Robles, Isla Teja, Valdivia",7,2.9,0.41,1,Sin hacinamiento,2258064.5161290322
253,casa,venta,Valdivia,512000000.0,230.0,"Camino Principal 1 - 300, Valdivia",11,2.9,0.26,1,Sin hacinamiento,2226086.9565217393
254,casa,venta,Valdivia,185000000.0,139.0,"Ruta 202 1 - 300, Centro De Valdivia, Valdivia",6,2.9,0.48,1,Sin hacinamiento,1330935.251798561
255,casa,venta,Valdivia,160000000.0,127.0,"Piedra Blanca, Valdivia, Chile, Valdivia",6,2.9,0.48,1,Sin hacinamiento,1259842.5196850393
256,casa,venta,Valdivia,95000000.0,115.0,"Pasaje Uno 1 - 300, Sur De Valdivia, Valdivia",5,2.9,0.58,1,Sin hacinamiento,826086.9565217391
257,casa,venta,Valdivia,98000000.0,60.0,"Arabia Saudita, 137, Sur De Valdivia, Valdivia",3,2.9,0.97,1,Sin hacinamiento,1633333.3333333333
258,casa,venta,Valdivia,150000000.0,120.0,"Isla Guacamayo 1 - 300, Sur De Valdivia, Valdivia",6,2.9,0.48,1,Sin hacinamiento,1250000.0
259,casa,venta,Valdivia,205000000.0,99.0,"Sur De Valdivia, Valdivia",4,2.9,0.72,1,Sin hacinamiento,2070707.0707070706
260,casa,venta,Valdivia,223000000.0,115.0,"Avenida Simpson 1 - 300, Sur De Valdivia, Valdivia",5,2.9,0.58,1,Sin hacinamiento,1939130.4347826086
261,casa,venta,Valdivia,148000000.0,52.0,"El Bergantín 1 - 300, Las Animas, Valdivia",2,2.9,1.45,1,Sin hacinamiento,2846153.846153846
